mpm, 45/udp, [recv]
mpm-snd, 46/tcp, send]
mpm-snd, 46/udp, send]
ni-ftp, 47/tcp, FTP
ni-ftp, 47/udp, FTP
auditd, 48/tcp, Daemon
auditd, 48/udp, Daemon
la-maint, 51/tcp, Maintenance
la-maint, 51/udp, Maintenance
xns-time, 52/tcp, Protocol
xns-time, 52/udp, Protocol
xns-ch, 54/tcp, Clearinghouse
xns-ch, 54/udp, Clearinghouse
isi-gl, 55/tcp, Language
isi-gl, 55/udp, Language
xns-auth, 56/tcp, Authentication
xns-auth, 56/udp, Authentication
xns-mail, 58/tcp, Mail
xns-mail, 58/udp, Mail
ni-mail, 61/tcp, MAIL
ni-mail, 61/udp, MAIL
acas, 62/tcp, Services
acas, 62/udp, Services
covia, 64/tcp, (CI)
covia, 64/udp, (CI)
tacacs-ds, 65/tcp, Service
tacacs-ds, 65/udp, Service
sql*net, 66/tcp, SQL*NET
sql*net, 66/udp, SQL*NET
deos, 76/tcp, Store
deos, 76/udp, Store
vettcp, 78/tcp, vettcp
vettcp, 78/udp, vettcp
xfer, 82/tcp, Utility
xfer, 82/udp, Utility
ctf, 84/tcp, Facility
ctf, 84/udp, Facility
mfcobol, 86/tcp, Cobol
mfcobol, 86/udp, Cobol
su-mit-tg, 89/tcp, Gateway
su-mit-tg, 89/udp, Gateway
dnsix, 90/tcp, Map
dnsix, 90/udp, Map
mit-dov, 91/tcp, Spooler
mit-dov, 91/udp, Spooler
dcp, 93/tcp, Protocol
dcp, 93/udp, Protocol
objcall, 94/tcp, Dispatcher
objcall, 94/udp, Dispatcher
dixie, 96/tcp, Specification
dixie, 96/udp, Specification
swift-rvf, 97/tcp, Protocol
swift-rvf, 97/udp, Protocol
tacnews, 98/tcp, News
tacnews, 98/udp, News
metagram, 99/tcp, Relay
metagram, 99/udp, Relay
newacct, 100/tcp, use]
iso-tsap, 102/udp, 0
gppitnp, 103/tcp, Net
gppitnp, 103/udp, Net
acr-nema, 104/tcp, 300
acr-nema, 104/udp, 300
snagas, 108/tcp, Server
snagas, 108/udp, Server
mcidas, 112/tcp, Protocol
mcidas, 112/udp, Protocol
ansanotify, 116/tcp, Notify
ansanotify, 116/udp, Notify
sqlserv, 118/tcp, Services
sqlserv, 118/udp, Services
cfdptkt, 120/tcp, CFDPTKT
cfdptkt, 120/udp, CFDPTKT
erpc, 121/tcp, Pro.Call
erpc, 121/udp, Pro.Call
smakynet, 122/tcp, SMAKYNET
smakynet, 122/udp, SMAKYNET
ansatrader, 124/tcp, Trader
ansatrader, 124/udp, Trader
locus-map, 125/tcp, Ser
locus-map, 125/udp, Ser
nxedit, 126/tcp, NXEdit
nxedit, 126/udp, NXEdit
locus-con, 127/tcp, Server
locus-con, 127/udp, Server
gss-xlicen, 128/tcp, Verification
gss-xlicen, 128/udp, Verification
pwdgen, 129/tcp, Protocol
pwdgen, 129/udp, Protocol
